number,id,start_seconds,end_seconds,chapter,scene,title,file
1,poster,2.0,6.042,Opening · Game Poster,POSTER,A Universe Worth Fighting For,asset/videos/hover/POSTER - Sin Star I - Game Poster.mp4
2,panel-01-1,6.042,12.083,Prologue - Room for One,C00-S01,The dream that follows him,asset/videos/hover/C00-S01 - Close - Memory.mp4
3,new-c00-s01-dream,12.083,18.125,Prologue - Room for One,C00-S01,The dream that follows him,asset/videos/hover/C00-S01 - Wide - Unreachable.mp4
4,panel-01-2,18.125,24.167,Prologue - Room for One,C00-S01,The dream that follows him,asset/videos/hover/C00-S01 - Wide - Lonely.mp4
5,panel-01-3,24.167,30.167,Prologue - Room for One,C00-S02,"A contract, not a calling",asset/videos/hover/C00-S02 - Medium - Dry Humor.mp4
6,new-c00-s02-contract,30.167,34.208,Prologue - Room for One,C00-S02,"A contract, not a calling",asset/videos/hover/C00-S02 - Close - The Blank Space.mp4
7,new-c00-s03-course,34.208,38.25,Prologue - Room for One,C00-S03,"A familiar sky, an unfamiliar sound",asset/videos/hover/C00-S03 - Close - Intervention.mp4
8,panel-01-4,38.25,44.292,Prologue - Room for One,C00-S03,"A familiar sky, an unfamiliar sound",asset/videos/hover/C00-S03 - Wide - Distant Answer.mp4
9,panel-02-1,44.292,50.333,Chapter 01 - The Water Under Neris,C01-S01,Someone comes back,asset/videos/hover/C01-S01 - Action - Rescue.mp4
10,new-c01-s01-carry,50.333,56.375,Chapter 01 - The Water Under Neris,C01-S01,Someone comes back,asset/videos/hover/C01-S01 - Medium - Carry Together.mp4
11,panel-02-2,56.375,62.417,Chapter 01 - The Water Under Neris,C01-S02,No one asked her to stay,asset/videos/hover/C01-S02 - Medium - Care.mp4
12,new-c01-s02,62.417,66.458,Chapter 01 - The Water Under Neris,C01-S02,No one asked her to stay,asset/videos/hover/C01-S02 - Close - Honest Admission.mp4
13,new-c01-s03,66.458,70.5,Chapter 01 - The Water Under Neris,C01-S03,The relay answers,asset/videos/hover/C01-S03 - Medium - A Practical Choice.mp4
14,panel-02-3,70.5,76.542,Chapter 01 - The Water Under Neris,C01-S03,The relay answers,asset/videos/hover/C01-S03 - Wide - Uncanny.mp4
15,panel-02-4,76.542,80.583,Chapter 01 - The Water Under Neris,C01-S04,The princess who leaves for her people,asset/videos/hover/C01-S04 - Medium - Resolve.mp4
16,new-c01-s04,80.583,83.083,Chapter 01 - The Water Under Neris,C01-S04,The princess who leaves for her people,asset/videos/hover/C01-S04 - Medium - New Partnership.mp4
17,panel-03-1,83.083,89.125,Chapter 02 - The Man Who Came Back,C02-S01,Veyra is not waiting to be discovered,asset/videos/hover/C02-S01 - Establishing - Wonder.mp4
18,new-c02-s01,89.125,93.167,Chapter 02 - The Man Who Came Back,C02-S01,Veyra is not waiting to be discovered,asset/videos/hover/C02-S01 - Medium - Choosing The Route.mp4
19,new-c02-s02,93.167,97.208,Chapter 02 - The Man Who Came Back,C02-S02,Not a battle they can win,asset/videos/hover/C02-S02 - Action - The Last Approach.mp4
20,panel-03-2,97.208,103.25,Chapter 02 - The Man Who Came Back,C02-S02,Not a battle they can win,asset/videos/hover/C02-S02 - Action - Impossible Odds.mp4
21,new-c02-s03,103.25,107.292,Chapter 02 - The Man Who Came Back,C02-S03,Two names that sound alike,asset/videos/hover/C02-S03 - Medium - Recognition.mp4
22,panel-03-3,107.292,113.333,Chapter 02 - The Man Who Came Back,C02-S03,Two names that sound alike,asset/videos/hover/C02-S03 - Close - Guarded Warmth.mp4
23,new-c02-s04,113.333,117.375,Chapter 02 - The Man Who Came Back,C02-S04,A temporary arrangement,asset/videos/hover/C02-S04 - Wide - The Next Useful Thing.mp4
24,panel-03-4,117.375,121.417,Chapter 02 - The Man Who Came Back,C02-S04,A temporary arrangement,asset/videos/hover/C02-S04 - Medium - First Belonging.mp4
25,panel-04-1,121.417,127.458,"Chapter 03 - Persons, Not Property",C03-S01,"Zara, who is not waiting for instructions",asset/videos/hover/C03-S01 - Medium - Comic Arrival.mp4
26,new-c03-s01,127.458,131.5,"Chapter 03 - Persons, Not Property",C03-S01,"Zara, who is not waiting for instructions",asset/videos/hover/C03-S01 - Medium - The Route Underneath.mp4
27,panel-04-2,131.5,137.542,"Chapter 03 - Persons, Not Property",C03-S02,The registry,asset/videos/hover/C03-S02 - Action - Refusal.mp4
28,new-c03-s02,137.542,141.583,"Chapter 03 - Persons, Not Property",C03-S02,The registry,asset/videos/hover/C03-S02 - Close - Careful Repair.mp4
29,panel-04-3,141.583,145.625,"Chapter 03 - Persons, Not Property",C03-S03,A people with a way home,asset/videos/hover/C03-S03 - Wide - Community.mp4
30,new-c03-s03,145.625,149.667,"Chapter 03 - Persons, Not Property",C03-S03,A people with a way home,asset/videos/hover/C03-S03 - Medium - Belonging And Departure.mp4
31,panel-04-4,149.667,155.708,"Chapter 03 - Persons, Not Property",C03-S04,Five places by the fire,asset/videos/hover/C03-S04 - Wide - Warmth.mp4
32,new-c03-s04,155.708,159.75,"Chapter 03 - Persons, Not Property",C03-S04,Five places by the fire,asset/videos/hover/C03-S04 - Close - The Night Watch.mp4
33,panel-05-1,159.75,163.792,Chapter 04 - The Language Beneath,C04-S01,Before the lightning,asset/videos/hover/C04-S01 - Flashback - Courage.mp4
34,new-c04-s01,163.792,167.833,Chapter 04 - The Language Beneath,C04-S01,Before the lightning,asset/videos/hover/C04-S01 - Detail - An Unexplained Kindness.mp4
35,panel-05-2,167.833,173.875,Chapter 04 - The Language Beneath,C04-S02,A bowl of water,asset/videos/hover/C04-S02 - Medium - Practice.mp4
36,new-c04-s02,173.875,177.917,Chapter 04 - The Language Beneath,C04-S02,A bowl of water,asset/videos/hover/C04-S02 - Detail - A Necessary Limit.mp4
37,panel-05-3,177.917,183.958,Chapter 04 - The Language Beneath,C04-S03,The dream answers back,asset/videos/hover/C04-S03 - Wide - Unequal Lesson.mp4
38,new-c04-s03,183.958,188.0,Chapter 04 - The Language Beneath,C04-S03,The dream answers back,asset/videos/hover/C04-S03 - Medium - Trust Through Disclosure.mp4
39,new-c04-s04,188.0,192.042,Chapter 04 - The Language Beneath,C04-S04,What the pulses cost,asset/videos/hover/C04-S04 - Close - The Cost Outside Himself.mp4
40,panel-05-4,192.042,196.083,Chapter 04 - The Language Beneath,C04-S04,What the pulses cost,asset/videos/hover/C04-S04 - Medium - Responsibility.mp4
41,panel-06-1,196.083,202.125,Chapter 05 - What We Blame,C05-S01,Not an accident,asset/videos/hover/C05-S01 - Close - Devastating Evidence.mp4
42,new-c05-s01,202.125,206.167,Chapter 05 - What We Blame,C05-S01,Not an accident,asset/videos/hover/C05-S01 - Close - A Terrible Recognition.mp4
43,panel-06-2,206.167,210.208,Chapter 05 - What We Blame,C05-S02,The thing he says,asset/videos/hover/C05-S02 - Two-Shot - Rupture.mp4
44,new-c05-s02,210.208,214.25,Chapter 05 - What We Blame,C05-S02,The thing he says,asset/videos/hover/C05-S02 - Cinematic - Character Moment.mp4
45,panel-06-3,214.25,218.292,Chapter 05 - What We Blame,C05-S03,No one gets erased for convenience,asset/videos/hover/C05-S03 - Medium - Public Correction.mp4
46,new-c05-s03,218.292,222.333,Chapter 05 - What We Blame,C05-S03,No one gets erased for convenience,asset/videos/hover/C05-S03 - Cinematic - Character Moment.mp4
47,panel-06-4,222.333,228.375,Chapter 05 - What We Blame,C05-S04,An apology without a bargain,asset/videos/hover/C05-S04 - Close - No Bargain.mp4
48,new-c05-s04,228.375,232.417,Chapter 05 - What We Blame,C05-S04,An apology without a bargain,asset/videos/hover/C05-S04 - Cinematic - Character Moment.mp4
49,panel-07-1,232.417,236.458,Chapter 05 - What We Blame,C05-S05,The Second Dawn,asset/videos/hover/C05-S05 - Wide - Tremendous Power.mp4
